"business","name","unit","per_unit_value","brand","category","sub_category","sub_category2","vendor_price","price","is_offer_enable","offer_price","featured_image","short_resolation_image","type","keywords","alert_quantity","slug","sku","delivery_time","status","enable_stock","current_stock","description","shipping_charge","image1","image2","image3","image4","image5","image6"
"cardinalcareltd.","Sunflower Plus LED Bulb - 5 Watt","Piece","1","sunflower-plus","home-&-decor","lighting","light-bulbs","120","200","0","","sunflower-plus-led-bulb-5-watt-deshibazaarbd---8-1641208958-1641208958-61d2dc7e9ebec.webp","sunflower-plus-led-bulb-5-watt-deshibazaarbd---8-1641208958-1641208958-61d2dc7e9ebec.webp","","home-&-decor,lighting","5","","","","active","1","100","<p>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 5 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 500 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 7 Watt","Piece","1","sunflower-plus","home-&-decor","lighting","light-bulbs","140","230","0","","sunflower-plus-led-bulb-7-watt-deshibazaarbd---12-1641208959-1641208959-61d2dc7fc1deb.webp","sunflower-plus-led-bulb-7-watt-deshibazaarbd---12-1641208959-1641208959-61d2dc7fc1deb.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 7 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 700 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 9 Watt","Piece","1","sunflower-plus","home-&-decor","lighting","light-bulbs","160","235","0","","sunflower-plus-led-bulb-9-watt-deshibazaarbd---16-1641208960-1641208960-61d2dc80ecc12.webp","sunflower-plus-led-bulb-9-watt-deshibazaarbd---16-1641208960-1641208960-61d2dc80ecc12.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 9 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 900 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb -  12 Watt","Piece","1","sunflower-plus","home-&-decor","lighting","light-bulbs","195","290","0","","sunflower-plus-led-bulb-12-watt-deshibazaarbd---4-1641208957-1641208957-61d2dc7d8d6cc.webp","sunflower-plus-led-bulb-12-watt-deshibazaarbd---4-1641208957-1641208957-61d2dc7d8d6cc.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 12 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 1200 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 15 Watt","Piece","1","sunflower-plus","home-&-decor","lighting","light-bulbs","200","300","0","","sunflower-plus-led-bulb-15-watt-deshibazaarbd---20-1641208962-1641208962-61d2dc821637f.webp","sunflower-plus-led-bulb-15-watt-deshibazaarbd---20-1641208962-1641208962-61d2dc821637f.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 15 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br /><br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 1500 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 18 Watt","Piece","1","sunflower-plus","home-&-decor","lighting","light-bulbs","230","310","0","","sunflower-plus-led-bulb-18-watt-deshibazaarbd---24-1641208963-1641208963-61d2dc8326532.webp","sunflower-plus-led-bulb-18-watt-deshibazaarbd---24-1641208963-1641208963-61d2dc8326532.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 18 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 1800 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 5 Watt -Bundle","Piece","12","sunflower-plus","home-&-decor","lighting","light-bulbs","1420","2400","0","","sunflower-plus-led-bulb-5-watt-bundle-deshibazaarbd---6-1641208958-1641208958-61d2dc7e18ed8.webp","sunflower-plus-led-bulb-5-watt-bundle-deshibazaarbd---6-1641208958-1641208958-61d2dc7e18ed8.webp","","home-&-decor,lighting","5","","","","active","1","100","<p>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 5 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 500 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 7 Watt -Bundle","Piece","12","sunflower-plus","home-&-decor","lighting","light-bulbs","1650","2760","0","","sunflower-plus-led-bulb-7-watt-bundle-deshibazaarbd---11-1641208959-1641208959-61d2dc7f859c3.webp","sunflower-plus-led-bulb-7-watt-bundle-deshibazaarbd---11-1641208959-1641208959-61d2dc7f859c3.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 7 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 700 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb - 9 Watt -Bundle","Piece","12","sunflower-plus","home-&-decor","lighting","light-bulbs","1890","2820","0","","sunflower-plus-led-bulb-9-watt-bundle-deshibazaarbd---15-1641208960-1641208960-61d2dc80a51ea.webp","sunflower-plus-led-bulb-9-watt-bundle-deshibazaarbd---15-1641208960-1641208960-61d2dc80a51ea.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 9 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 900 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
"cardinalcareltd.","Sunflower Plus LED Bulb -  12 Watt -Bundle","Piece","12","sunflower-plus","home-&-decor","lighting","light-bulbs","2300","3480","0","","sunflower-plus-led-bulb-12-watt-bundle-deshibazaarbd---3-1641208957-1641208957-61d2dc7d42ecd.webp","sunflower-plus-led-bulb-12-watt-bundle-deshibazaarbd---3-1641208957-1641208957-61d2dc7d42ecd.webp","","home-&-decor,lighting","5","","","","active","1","100","<p><span>Product Name: SUN FLOWER PLUS LED Bulb.<br />Rated Power: 12 Watt.<br />Manufacturer: Gupta Info Indo Bangla Limited. <br />Products Basic Information:<br />Origin: China <br />Warranty: 2 Years.<br />Operating voltage: 220-265volt.<br />Driver: SMD.<br />CRI: 85.<br />Input Current Frequency: 50/60 Hz.<br />Usage: Indoor and outdoor.<br />IP Rating: IP54.<br />Lumen: 1200 lm.<br />Trademark: SUNFLOWER PLUS.<br />Material: Plastic &amp; Aluminum.<br />Base type: E-27 &amp; B-22.<br />Real Power: 5&plusmn;5%.<br />Power Factor: &gt;0.5.<br />Color Temperature: 6500k.<br />Energy consumption level: A++.<br /><br />Product Features: <br />Energy Saving Bulb<br />Environment Friendly<br />CFC Free<br />Life Time: 30000hrs<br />Beam Angle - Above 130 Degree<br />High Color Rendering Index<br />High Lumen Output<br />No Light Attenuation<br />Low Radiated Heat<br />Instantaneous Illumination</span></p>","","","","","","",""
